iter	Passed	Remaining
399	74144	111216
400	74326	111027
401	74503	110829
402	74662	110604
403	74837	110404
404	75020	110215
405	75199	110021
406	75381	109830
407	75531	109595
408	75698	109383
409	75887	109203
410	76085	109037
411	76283	108871
412	76509	108742
413	76704	108572
414	76986	108523
415	77215	108399
416	77425	108247
417	77594	108037
418	77784	107858
419	77936	107625
420	78134	107458
421	78288	107229
422	78467	107034
423	78686	106895
424	78856	106687
425	79055	106520
426	79239	106333
427	79417	106136
428	79581	105923
429	79761	105730
430	79923	105514
431	80071	105278
432	80227	105055
433	80393	104845
434	80593	104678
435	80778	104493
436	80960	104303
437	81148	104122
438	81319	103918
439	81491	103715
440	81654	103503
441	81826	103301
442	81987	103085
443	82148	102870
444	82329	102681
445	82511	102491
446	82683	102291
447	82866	102102
448	83092	101969
449	83377	101905
450	83654	101832
451	84018	101863
452	84355	101859
453	84674	101833
454	84874	101662
455	85071	101489
456	85324	101380
457	85623	101326
458	85956	101312
459	86275	101280
460	86494	101129
461	86744	101014
462	86977	100878
463	87222	100756
464	87465	100631
465	87704	100502
466	87909	100333
467	88199	100260
468	88448	100141
469	88693	100016
470	88906	99854
471	89178	99758
472	89515	99735
473	89797	99649
474	91056	100641
475	91368	100581
476	91562	100392
477	91779	100227
478	92136	100214
479	92434	100137
480	92819	100152
481	93200	100161
482	93515	100097
483	93750	99948
484	93950	99762
485	94137	99561
486	94303	99338
487	94541	99191
488	94734	98997
489	94926	98801
490	95102	98588
491	95229	98326
492	95524	98237
493	95836	98164
494	96030	97970
495	96210	97761
496	96414	97578
497	96540	97316
498	96715	97103
499	96901	96901
500	97106	96718
501	97267	96492
502	97451	96289
503	97637	96087
504	97817	95880
505	98149	95821
506	98477	95758
507	98644	95537
508	98849	95353
509	99047	95163
510	99399	95119
511	99650	94979
512	99822	94763
513	100022	94573
514	100261	94420
515	100451	94221
516	100680	94059
517	100952	93936
518	101199	93790
519	101471	93666
520	101718	93518
521	102124	93516
522	102475	93461
523	102785	93370
524	103132	93309
525	103494	93263
526	103800	93164
527	104076	93038
528	104365	92922
529	104558	92721
530	104755	92523
531	104925	92302
532	105092	92079
533	105253	91850
534	105438	91642
535	105587	91403
536	105753	91180
537	105931	90966
538	106145	90785
539	106281	90535
540	106438	90305
541	106608	90085
542	106874	89947
543	107091	89767
544	107285	89568
545	107474	89365
546	107631	89135
547	107843	88951
548	108023	88740
549	108208	88534
550	108467	88387
551	108665	88192
552	108843	87979
553	109042	87784
554	109344	87672
555	109509	87449
556	109653	87210
557	109814	86985
558	109994	86775
559	110179	86569
560	110370	86368
561	110629	86219
562	110773	85982
563	110968	85783
564	111134	85563
565	111332	85368
566	111516	85161
567	111694	84950
568	111871	84739
569	112056	84533
570	112202	84298
571	112340	84059
572	112514	83845
573	112701	83642
574	112871	83426
575	113050	83217
576	113217	83000
577	113425	82812
578	113630	82622
579	113870	82457
580	114145	82318
581	114339	82120
582	114516	81909
583	114676	81687
584	114966	81557
585	115228	81407
586	115402	81194
587	115568	80976
588	115722	80750
589	115952	80577
590	116204	80418
591	116375	80204
592	116535	79983
593	116764	79809
594	116953	79606
595	117126	79394
596	117310	79189
597	117572	79037
598	117859	78901
599	118137	78758
600	118317	78550
