iter	Logloss
0	0.6761424908
1	0.6620908479
2	0.6508460045
3	0.6416604714
4	0.6334650556
5	0.626901334
6	0.6213140932
7	0.6163510455
8	0.6119804737
9	0.6087281517
10	0.6058032403
11	0.6032343634
12	0.6008261203
13	0.5988509827
14	0.5970966894
15	0.5958057812
16	0.5944757492
17	0.5933092701
18	0.5923037732
19	0.5914680158
20	0.5904295818
21	0.5894681754
22	0.5888204122
23	0.5881523029
24	0.5874282964
25	0.5868821329
26	0.5863013767
27	0.5859266952
28	0.585371034
29	0.5850299431
30	0.5846770891
31	0.5843652757
32	0.583878582
33	0.583569949
34	0.5832068566
35	0.5830081011
36	0.5827696992
37	0.5824801489
38	0.5821406265
39	0.5819365122
40	0.5816740174
41	0.5814894214
42	0.581251978
43	0.5810678613
44	0.5807713401
45	0.5805229176
46	0.5803289982
47	0.5801927187
48	0.5798844343
49	0.5796931725
50	0.5795039148
51	0.5793513846
52	0.5792503513
53	0.5790847944
54	0.5789754833
55	0.5788554545
56	0.5787200028
57	0.5785879494
58	0.5783712441
59	0.5781869096
60	0.5780594307
61	0.5778252984
62	0.5777280991
63	0.5776319018
64	0.5775169705
65	0.5773059725
66	0.5771569277
67	0.5770430856
68	0.5769501559
69	0.5768597095
70	0.5767328842
71	0.5766287141
72	0.5765530371
73	0.5764590618
74	0.5763741921
75	0.5763338049
76	0.5762572566
77	0.5760864716
78	0.575993629
79	0.5758880647
80	0.5758177466
81	0.5757734383
82	0.5756853011
83	0.5755904979
84	0.575489334
85	0.5753493077
86	0.5752341585
87	0.5750889912
88	0.5750140113
89	0.5749514047
90	0.5748876217
91	0.5748412658
92	0.5747675494
93	0.5747042021
94	0.574618461
95	0.5745633916
96	0.5744663229
97	0.5743796234
98	0.574290092
99	0.5742229978
100	0.5741727644
101	0.574078092
102	0.5739900854
103	0.5739148877
104	0.5738952823
105	0.5738440904
106	0.5737860583
107	0.5737017985
108	0.5736445507
109	0.5735703115
110	0.5735157649
111	0.5734135988
112	0.5733590086
113	0.5733293826
114	0.573289039
115	0.5732009889
116	0.5731528031
117	0.5731246149
118	0.5730700246
119	0.57298485
120	0.5729367949
121	0.5728458257
122	0.5728066585
123	0.5727366889
124	0.572709372
125	0.5726588771
126	0.5726072059
127	0.5725565368
128	0.5725231205
129	0.5724829076
130	0.5724379894
131	0.5723945524
132	0.5723335578
133	0.5722800568
134	0.5722494723
135	0.5721888262
136	0.572155497
137	0.5720797765
138	0.5720568163
139	0.5720129438
140	0.5719593992
141	0.5718952677
142	0.5718551855
143	0.5718307876
144	0.5717963692
145	0.5717484884
146	0.5717070992
147	0.5716297666
148	0.5715758735
149	0.5715487309
150	0.5715150096
151	0.5714630334
152	0.5714209035
153	0.5713914954
154	0.5713495834
155	0.5713125945
156	0.5712819664
157	0.5712581349
158	0.571220144
159	0.5711811074
160	0.5711317889
161	0.5710925345
162	0.5710559812
163	0.5710154634
164	0.5709850096
165	0.5709573442
166	0.5709165213
167	0.5708763084
168	0.570820934
169	0.5707845115
170	0.5707689143
171	0.5707489603
172	0.5707365
173	0.570690144
174	0.5706484934
175	0.5706089776
176	0.5705603561
177	0.570552209
178	0.5704858991
179	0.5704412423
180	0.5703975875
181	0.5703887869
182	0.5703517544
183	0.5703157676
184	0.5702944194
185	0.5702489784
186	0.5702129044
187	0.5701624967
188	0.5701347006
189	0.5701116098
190	0.5700730089
191	0.5700483932
192	0.5700253895
193	0.5699997281
194	0.5699638284
195	0.5699311963
196	0.5699104581
197	0.5698826184
198	0.5698570007
199	0.5698089456
200	0.5697811494
201	0.569759627
202	0.5697472538
203	0.5697230738
204	0.5696934478
205	0.569670967
206	0.5696230862
207	0.5696084474
208	0.5695784294
209	0.5695618737
210	0.5695285009
211	0.5694862839
212	0.5694578342
213	0.5694097792
214	0.5693807196
215	0.5693530541
216	0.5693403324
217	0.5693259551
218	0.5692982461
219	0.5692755473
220	0.5692371643
221	0.5692113287
222	0.5691759954
223	0.5691453673
224	0.5691148264
225	0.5691039781
226	0.5690772712
227	0.5690503464
228	0.5690335729
229	0.569005951
230	0.5689755408
231	0.5689430394
232	0.5689165503
233	0.5688959428
234	0.5688839181
235	0.5688656633
236	0.5688452736
237	0.5688088076
238	0.568797785
239	0.5687736485
240	0.5687572235
241	0.5687411471
242	0.5687261598
243	0.5686968388
244	0.5686613312
245	0.5686388067
246	0.5686232095
247	0.5686016871
248	0.5685650032
249	0.5685445264
250	0.5685332424
251	0.5685178195
252	0.5684989547
253	0.5684765174
254	0.5684609202
255	0.5684396156
256	0.5684296822
257	0.5684007098
258	0.56838215
259	0.5683733057
260	0.5683546588
261	0.5683260349
262	0.5683215039
263	0.5683012449
264	0.5682832515
265	0.5682732745
266	0.5682576773
267	0.5682334537
268	0.5682024336
269	0.5681922388
270	0.5681659239
271	0.5681329432
272	0.5680791372
273	0.5680616666
274	0.5680362232
275	0.568000977
276	0.5679852491
277	0.5679679091
278	0.5679392852
279	0.567927522
280	0.5678939313
281	0.5678696206
282	0.5678545462
283	0.5678356815
284	0.5678027008
285	0.5677877571
286	0.5677787822
287	0.5677661475
288	0.5677470214
289	0.5677147378
290	0.5676914727
291	0.5676777053
292	0.5676418492
293	0.5676141402
294	0.5675969745
295	0.5675876511
296	0.5675610748
297	0.5675458697
298	0.5675153724
299	0.567498381
300	0.5674798648
301	0.5674591702
302	0.5674450107
303	0.5674295006
304	0.5673996133
305	0.5673791801
306	0.5673654127
307	0.5673451537
308	0.5673233699
309	0.5673118245
310	0.5672932212
311	0.5672790181
312	0.5672696947
313	0.5672569293
314	0.5672392845
315	0.5672171521
316	0.5671979824
317	0.5671752836
318	0.567160035
319	0.5671500144
320	0.567125268
321	0.5671134612
322	0.5670909803
323	0.567075296
324	0.5670547321
325	0.5670393527
326	0.5670139092
327	0.56700537
328	0.5669910362
329	0.5669729557
330	0.566962848
331	0.5669350518
332	0.5669048595
333	0.5668879988
334	0.5668802438
335	0.5668654308
336	0.5668459997
337	0.5668258279
338	0.5668074423
339	0.5667918451
340	0.5667778599
341	0.5667556404
342	0.5667428751
343	0.5667234004
344	0.5667135106
345	0.5666910297
346	0.5666823597
347	0.5666552171
348	0.5666341304
349	0.5666236742
350	0.5666155706
351	0.5665930897
352	0.5665834612
353	0.5665724822
354	0.5665416363
355	0.5665249499
356	0.5665114004
357	0.5664887453
358	0.5664795089
359	0.5664657851
360	0.5664319331
361	0.5664150724
362	0.5663889319
363	0.5663729861
364	0.5663605694
365	0.5663437087
366	0.5663325118
367	0.5663246697
368	0.5663077654
369	0.5662837597
370	0.5662742619
371	0.5662679882
372	0.5662570527
373	0.5662353996
374	0.5662157942
375	0.5662039002
376	0.5661974522
377	0.5661928776
378	0.5661847305
379	0.5661728801
380	0.5661585464
381	0.5661470009
382	0.5661353684
383	0.5661215139
384	0.5661095328
385	0.5660916701
386	0.566082303
387	0.5660714983
388	0.5660367313
389	0.566023966
390	0.56601107
391	0.56598689
392	0.5659793092
393	0.5659673281
394	0.5659498575
395	0.5659329097
396	0.5659205365
397	0.5659082505
398	0.5658956594
399	0.5658812385
400	0.5658628094
401	0.56585671
402	0.5658411999
403	0.5658283475
404	0.5658218123
405	0.5658005949
406	0.5657887445
407	0.565770359
408	0.5657539775
409	0.5657432163
410	0.5657216504
411	0.5657097564
412	0.5657061403
413	0.5656897589
414	0.5656724626
415	0.5656671473
416	0.5656525522
417	0.5656315526
418	0.5656150404
419	0.5656050635
420	0.5655916011
421	0.5655724749
422	0.5655591868
423	0.5655509525
424	0.5655430232
425	0.5655342661
426	0.5655199324
427	0.5655077334
428	0.5654839891
429	0.5654734457
430	0.565458502
431	0.5654437326
432	0.5654353241
433	0.5654188555
434	0.5654029969
435	0.56539241
436	0.565386659
437	0.5653717154
438	0.5653612156
439	0.5653472739
440	0.5653316767
441	0.5653216562
442	0.5653118535
443	0.5652997417
444	0.5652827503
445	0.5652626221
446	0.5652420581
447	0.5652359587
448	0.5652179217
449	0.5652029344
450	0.5651933496
451	0.565179103
452	0.5651721321
453	0.5651574499
454	0.5651501741
455	0.5651328777
456	0.565123685
457	0.5651130109
458	0.5651042102
459	0.5650923598
460	0.5650821215
461	0.5650631695
462	0.5650580721
463	0.5650461782
464	0.5650429106
465	0.5650330208
466	0.5650233052
467	0.5650096685
468	0.5649966854
469	0.564984835
470	0.5649788662
471	0.564962267
472	0.564951985
473	0.5649411367
474	0.5649314211
475	0.5649075896
476	0.5648976562
477	0.5648840631
478	0.5648733455
479	0.564865634
480	0.5648525637
481	0.5648387964
482	0.5648307364
483	0.5648096061
484	0.5647987142
485	0.5647889986
486	0.5647802851
487	0.5647678683
488	0.5647618124
489	0.5647484807
490	0.5647375017
491	0.5647149772
492	0.5647066994
493	0.5646944569
494	0.5646863533
495	0.5646756357
496	0.5646647873
497	0.56465102
498	0.5646386903
499	0.5646264914
500	0.5646148153
501	0.5645996538
502	0.56459399
503	0.5645776521
504	0.5645692
505	0.564561445
506	0.5645560426
507	0.5645489411
508	0.5645405325
509	0.5645293792
510	0.5645180516
511	0.5645099481
512	0.5644995354
513	0.5644899941
514	0.5644747454
515	0.5644647249
516	0.5644539637
517	0.5644394992
518	0.5644310471
519	0.5644115724
520	0.5644031203
