iter	Passed	Remaining
401	16384	24372
402	16421	24326
403	16461	24285
404	16500	24240
405	16535	24191
406	16576	24152
407	16616	24109
408	16660	24074
409	16697	24028
410	16735	23984
411	16776	23943
412	16808	23890
413	16843	23840
414	16881	23797
415	16915	23746
416	16950	23698
417	16989	23655
418	17028	23611
419	17064	23565
420	17103	23522
421	17141	23478
422	17174	23427
423	17207	23376
424	17240	23325
425	17284	23288
426	17323	23247
427	17356	23195
428	17396	23154
429	17433	23109
430	17475	23070
431	17512	23025
432	17547	22978
433	17580	22927
434	17620	22886
435	17663	22848
436	17702	22806
437	17738	22760
438	17778	22719
439	17820	22681
440	17859	22638
441	17900	22598
442	17937	22554
443	17973	22506
444	18015	22468
445	18050	22421
446	18091	22381
447	18128	22336
448	18165	22291
449	18206	22252
450	18242	22206
451	18281	22164
452	18321	22123
453	18355	22075
454	18391	22029
455	18428	21985
456	18462	21936
457	18502	21895
458	18538	21850
459	18574	21804
460	18611	21760
461	18648	21716
462	18686	21673
463	18725	21630
464	18759	21583
465	18797	21540
466	18830	21491
467	18867	21448
468	18897	21395
469	18931	21347
470	18970	21306
471	19006	21261
472	19043	21217
473	19082	21176
474	19115	21128
475	19152	21083
476	19195	21046
477	19236	21007
478	19271	20961
479	19308	20917
480	19343	20871
481	19380	20828
482	19411	20777
483	19445	20731
484	19485	20691
485	19519	20643
486	19555	20599
487	19591	20554
488	19627	20510
489	19668	20471
490	19709	20431
491	19746	20388
492	19784	20346
493	19815	20297
494	19851	20252
495	19893	20214
496	19933	20174
497	19971	20131
498	20006	20087
499	20039	20039
500	20074	19994
501	20121	19961
502	20160	19919
503	20196	19875
504	20234	19833
505	20275	19794
506	20310	19749
507	20352	19711
508	20388	19667
509	20418	19617
510	20458	19577
511	20493	19532
512	20527	19487
513	20568	19447
514	20606	19406
515	20641	19361
516	20682	19322
517	20722	19282
518	20755	19236
519	20788	19189
520	20824	19146
521	20861	19103
522	20899	19061
523	20935	19018
524	20972	18975
525	21018	18940
526	21052	18895
527	21088	18851
528	21128	18812
529	21173	18776
530	21215	18737
531	21250	18694
532	21291	18655
533	21332	18616
534	21372	18575
535	21405	18530
536	21439	18485
